CUUNIT,CUDESC,CUTYPE,CUTABL,CUPROM,CUOBSO,CUUNDR,CUMSTI,CUSUBI,CUSYMB,CUSEL1,CUSEL2,CUSEL3,CUSEL4,CUSEL5,CUATR1,CUATR2,CUATR3,CUATR4,CUATR5,CUCOLD,CUHOT,CURMV,CUFERC,CUFEAT,CUKIND,CUADDI,CURNUM,CURDTE,CURDES,CUEFCC,CUEFYY,CUEFMM,CUEFDD,CUCRCC,CUCRYY,CUCRMM,CUCRDD,CUCRTT,CUCRUU,CUCHCC,CUCHYY,CUCHMM,CUCHDD,CUCHTT,CUCHUU
1/0AEPRX,1/0 AL 19-STR EPR 15KV 175MIL JACKETED,W,SITEINV,UG Primary,A,UD,CONDUCTORS,UGPRIMCON,101,PRIMARY,176AMPS,1/0ALEPR,175MIL,Active,1/0,AL,EPR,JF,1/0AE175,,,,367,CKT,230,52,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,7,17,101043,MNESS
1/0EPRCON,1/0 AL 19-STR EPR 15KV 175MIL CABLE IN 1.5in CONDUIT,W,SITEINV,UG Primary,A,UD,CONDUCTORS,UGPRIMCON,101,PRIMARY,155AMPS,1/0ALEPR,175MIL,Active,1/0,AL,EPR,JF,1/0CIC1.5,,,,367,CKT,,52,1,12/00,NEW SPEC,19,95,1,1,19,95,1,1,12,MNess,20,5,4,15,113502,DDAWSON
1/0QAFSC,1/0 AL QUADRAPLEX   FULL NEUTRAL SHETLAND SECONDARY,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSECCON,101,SHETLAND,180AMPS,QUADRAPLEX,F-NEUTRAL,Active,1/0,AL,XLPE,FN,1/0QA,,,,369,CKT,163,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,10,24,110157,MNESS
1/0QAFSV,1/0 AL QUADRAPLEX   FULL NEUTRAL.SHETLAND  SERVICE,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSERVCON,101,SHETLAND,180AMPS,QUADRAPLEX,F-NEUTRAL,Active,1/0,AL,XLPE,FN,1/0QA,,,,369,CKT,163,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,10,24,110200,MNESS
1/0TAIRSC,1/0 AL TRIPLEX INSULATED REDUCED NEUTRAL   ECHINUS-I   SECONDARY,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSECCON,101,ECHINUSI,205AMPS,TRIPLEX,R-NEUTRAL,Active,1/0,AL,XLPE,IN,1/0TA,,,,369,CKT,197,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,6,20,113211,MNESS
1/0TAIRSV,1/0 AL TRIPLEX INSULATED REDUCED NEUTRAL   ECHINUS-I     SERVICE,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSERVCON,101,ECHINUSI,205AMPS,TRIPLEX,R-NEUTRAL,Active,1/0,AL,XLPE,IN,1/0TA,,,,369,CKT,197,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,6,20,113211,MNESS
1/0TARSC,1/0 AL TRIPLEX REDUCED NEUTRAL ECHINUS   SECONDARY,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSECCON,101,ECHINUS,205AMPS,TRIPLEX,R-NEUTRAL,Active,1/0,AL,XLPE,RN,1/0TA,,,,369,CKT,,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,6,20,104823,MNESS
1/0TARSV,1/0 AL TRIPLEX REDUCED NEUTRAL ECHINUS    SERVICE,W,SITEINV,OH Serv/Sec,A,OD,CONDUCTORS,OHSERVCON,101,ECHINUS,205AMPS,TRIPLEX,R-NEUTRAL,Active,1/0,AL,XLPE,RN,1/0TA,,,,369,CKT,,36,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,12,MNess,20,7,6,20,104818,MNESS
1/0TAURSC,1/0 AL TRIPLEX 600V UD REDUCED NEUTRAL BRENAU YS  SECONDARY,W,SITEINV,UG Serv/Sec,A,UD,CONDUCTORS,UGSECCON,101,BRENAU,160AMPS,1/0ALXLP,TRIPLEX,Active,1/0,AL,XLPE,RS,1/0TA,,,,369,CKT,154,52,1.1,06/07,AMPACITY UPDATE,19,96,1,16,19,96,1,2,12,MNess,20,7,6,18,165753,MNESS
1/0TAURSV,1/0 AL TRIPLEX 600V UD REDUCED NEUTRAL BRENAU YS   SERVICE,W,SITEINV,UG Serv/Sec,A,UD,CONDUCTORS,UGSERVCON,101,BRENAU,160AMPS,1/0ALXLP,TRIPLEX,Active,1/0,AL,XLPE,RS,1/0TA,,,,369,CKT,154,52,1.1,06/07,AMPACITY UPDATE,19,96,1,16,19,96,1,2,12,MNess,20,7,6,18,165714,MNESS
101.01,Obsolete UG Spec-Submersible Xfmr vault installation w/cable junction box+221.40,S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,35,Obsolete,,,,Obsolete,,,,,,,,,366,NONGIS,620,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
