WarehouseNbr,UOM,Category,Cost,ItemDesc
11993,EA,02,1.7388,"EYELET, (BOLTEYE), STD, 5/8"". "
11994,EA,02,46.8597,"CLAMP, STRAIN, QUAD, #2-4/0 STR. AAAC."
11995,EA,02,138,"INSULATOR, SUSPENSION, POLYMER 161 KV, BALL END."
11996,EA,02,160.59,"TIMBER, X-ARM, UNDERBUILD, DIST., 6"" X 8"" X 19'."
11997,EA,02,14.689,"SLEEVE, SEMI-TENSION, REDUCER, #2 STR.-#4 STR. AAAC."
11998,EA,02,19.55,"SLEEVE, JUMPER, REDUCER, #394.5 KCM-2/0 STR. AAAC."
11999,EA,02,8.2471,DISPOSABLE HARD HAT LIGHT. 
12000,EA,02,0.6721,"POLE MARKERS-2"" YELLOW ENAMEL, LETTERS- A/Z & NUMBERS-0/9."
12001,PK,09,0.44,"TRANSFORMER STICK ON NUMBER, YELOW/BLACK, 1 3/4"" X 2 7/8""."
12002,PK,09,0.44,"TRANSFORMER STICK ON LETTERS, YELLOW/BLACK, 1 3/4"" X 2 7/8""."
11221,FT,02,0.1312,"CONDUCTOR, #2A COPPERWELD. "
11222,FT,02,0.1628,"CONDUCTOR, #2J, COPPERWELD. "
11219,FT,02,0.0686,"CONDUCTOR, #6A, COPPERWELD. "
12006,EA,02,2.6129,"GUY, CLAMP, U-BOLT TYPE. "
11223,FT,02,0.2179,"CONDUCTOR, 1/0F, COPPERWELD. "
12008,EA,02,6.6356,"SLEEVE, SPLICING, #1/0F, COPPERWELD."
12010,EA,02,2.1732,"SLEEVE, SPLICING, #2J, COPPERWELD."
12009,EA,02,3.8428,"SLEEVE, SPLICING, #1/0-7 STR. OR #1/0-19 STR. COPPER."
11220,FT,02,0.2891,"CONDUCTOR, #4A, COPPERWELD. "
12012,EA,02,48.5453,"CONNECTOR, T-TAP WITH PAD TAP, #652.4 AAAC CONDUCTOR."
12013,EA,02,13,"GROUND CLAMP, 2/0-2"" IPS "
12014,EA,02,28.15,"GROUND CLAMP, 2/0-2 1/2"" IPS "
12015,EA,02,25.5059,"GROUND CLAMP, 2/0-3"" IPS "
12016,EA,02,19,"GROUND CLAMP, 2/0-4"" IPS "
12017,EA,02,4.9938,"CONNECTOR, PARALLEL, BRONZE, #8-2/0 CU/GS"
12018,EA,02,52.5,"GROUND CLAMP, 2/0-6"" IPS "
12019,EA,02,19.05,"GROUND CLAMP, 2/0-1 1/2"" IPS "
12020,EA,02,18,"FIBER OPTIC-TANGENT ATTACHMENT CABLE SIZE .7""-.75"""
12021,EA,02,18,FIBER OPTIC-DEAD END 
12022,EA,02,15.5343,FIBER OPTIC-THIMBLE CLEVIS 
12023,EA,02,7.6403,FIBER OPTIC-SPIRAL VIBRATION DAMPER.
12024,EA,02,340.14,FIBER OPTIC-CLOSURE ASSEMBLY 
12025,EA,02,52.51,"FIBER OPTICS-SPLICE TRAY, WITH 24 SPACE."
11454,EA,02,4,"GRIP, SERVICE, DEAD-END, #2 COPPER."
11455,EA,02,5,"GRIP, SERVICE, DEAD-END, 2/0 COPPER."
12026,EA,02,1268,XFMR-RR2-25 KVA-120/208Y 
12030,EA,02,30.0829,"FIBER OPTIC-DEAD END, LIMITED TENSION, DIELECTRIC, .693-737"""
12028,EA,02,29.9537,"FIBER OPTIC-TANGENT CLAMP, CABLE SIZE:.676-750"""
12031,EA,02,24.78,"FIBER OPTICS-BRACKET, SINGLE STANDOFF, FIBERGLASS-12""."
12032,EA,02,40.6788,"FIBER OPTIC-BRACKET, SINGLE STANDOFF, FIBERGLASS, 18""."
12027,EA,02,105.532,"FIBER OPTIC-DEAD END, FULL TENSION, DIELECTRIC,.693-.737"""
12029,EA,02,8.1942,"FIBER OPTIC-CUSHION, DOWNLEAD, CABLE SIZE-.657""-.750"""
12033,EA,02,23,"ANCHOR, EXPANDING POLE KEY "
12034,FT,02,1.0474,"CONDUCTOR, #2-7 STR. COPPER BARE SOFT DRAWN."
12036,EA,02,6.52,"PHOTO CONTROLLER, 105-285V. "
12037,EA,02,25.83,"GRIP, CABLE SUPPORT, 4/0 STR.- 500 KCM CONDUCTOR."
12038,EA,02,55.8148,"GRIP, CABLE SUPPORT, 750 KCM, COPPER/ALUM. CONDUCTOR."
12040,BX,02,57.16,"ANCHOR, BOLTS, CONCRETE, STAINLESS STEEL, 1/2"" X 3 3/4"""
12039,BX,02,40.25,"ANCHOR, BOLTS, CONCRETE, STAINLESS STEEL, 3/8"" X 5""."
12041,EA,02,17.5845,"TERMINAL, COMPRESSION, TWO HOLE PAD, ANGLE, #2 COND."
12042,EA,02,24.3531,"TERMINAL, COMPRESSION, TWO HOLE PAD, ANGLE, 1/0 STR. COND"
12043,EA,02,92.3003,POWER DOOR ASSEMBLY FOR 100W HPS AMERICAN ELECTRIC ST. LT.
12044,EA,02,127.6649,POWER DOOR ASSEMBLY FOR 200W HPS AMERICAN ELECTRIC ST.LT.
12045,EA,02,3.6382,"SLEEVE, SERVICE, ENTRANCE, 4/0 STR.-1/0 STR. AL/CU COND."
99999,EA,02,1,SPECIAL ORDER MATERIAL ONLY! 
12046,EA,02,13.6405,"TERMINAL, COMPRESSION, TWO HOLE PAD, ANGLE, 4/0 STR. COND"
12049,EA,02,1800,"VAULT,CONCRETE,COVER-NON SKID 5'X7'X1', HINGED LOCKING STEEL"
12050,EA,02,483.5,"VAULT, CONCRETE, COVER, 5'X7'X1', 42"" ROUND OPENING."
12051,EA,02,589.9429,"VAULT, LID, CAST IRON, 42' SOLID."
12052,EA,02,567.7,"VAULT, LID FRAME, CAST IRON 42"" ROUND."
12053,EA,02,1726,"VAULT, CONCRETE, BODY ONLY, 8'X 10'X 8'."
12054,EA,02,1635,"VAULT, CONCRETE, BASE ONLY, 8'X 10'X 20""."
12055,EA,02,1638,"VAULT, CONCRETE, COVER, 8'X10' W/42"" ROUND LID HOLE,CENTERED."
12056,EA,02,739,"VAULT, CONCRETE, BODY ONLY, 4'-8""X 4'-8""X 4'."
12057,EA,02,209.7,"VAULT, CONCRETE COVER, SQUARE, 5'X 5'-W/42"" ROUND ACCESS HOLE"
12058,EA,02,1107,"VAULT, CONCRETE, COVER, 5'X5', W/HINGED LOCKING STEEL LID."
12059,EA,02,88.25,"VAULT, CONCRETE, RISER, ROUND, ACCESS, 42""X 4""."
12060,EA,02,113.8214,"VAULT, CONCRETE, RISER, ROUND, ACCESS, 42""X 6"""
12061,EA,02,117.425,"VAULT, CONCRETE, RISER, ROUND, ACCESS, 42""X 12""."
12062,EA,02,56.7625,"YOKE PLATE, GALV. 5/8""X 9""X 3 5/8""."
12063,EA,02,540,"VAULT, CONCRETE, COVER, 78""X 78""X 6"" W/14""X 42"" OPENING."
12064,EA,02,573,"VAULT, CONCRETE, COVER, 96""X 96""X 6"" W/14""X 50"" OPENING."
12065,EA,02,285,"FIBEROPTICS/FIBERGLASS TRANSFORMER BOX PAD, 30"" DEPTH"
12066,EA,02,97.1429,FIBEROPTICS/FIBERGLASS LID FOR TX-TI SERIES BOX PADS.
12067,EA,02,2.3861,"GAIN, CROSSARM, DISTRIBUTION, PLASTIC."
12068,EA,02,181.1638,"ANCHOR, EXTENSION, TWIN HELIX, 14"" HELICES, GALV."
12069,BT,02,7.0906,"CORROSION INHIBITOR, SYNTHETIC BASE, NON-GRIT, 8 OZ BOTTLE."
12070,EA,02,30.7492,"STARTER BOARD, 100W STREET LIGHT, HPS"
12071,EA,02,24.041,"STARTER BOARD, STREET LIGHT, 200W COBRA HEAD,"
12072,EA,02,7.97,"CLEVIS EYE, DUCTILE IRON, 25,000 LBS."
12073,EA,02,30.6014,"STARTER BOARD, ORNAMENTAL LIGHT, 100W, HPS."
12074,FT,02,0.2537,"GUYWIRE, 10M ALUMOWELD, REEL, 5,000 FEET PER REEL."
12075,FT,02,0.4158,"GUYWIRE, 16M ALUMOWELD, REEL, 2,500 FEET PER REEL."
12076,FT,02,0.5507,"GUYWIRE, 20M ALUMOWELD, REEL, 2,500 FEET PER REEL."
12077,EA,02,2500,XFMR-POLE-167 KVA-240/480 
12078,EA,02,3800,XFMR-POLE-333 KVA-240/480 
12079,EA,02,3800,XFMR-POLE-333 KVA-277/480 
12080,EA,02,4.9717,"TERMINAL, COMPRESSION, TWO HOLE, 250 KCM, ALUM/COPPER"
12081,EA,02,2.15,"BOLT, MACHINE, 3/4"" X 6"", GALV "
12082,EA,02,2.2627,"BOLT, MACHINE, 3/4"" X 8"", GALV "
12083,EA,02,2.2558,"BOLT, MACHINE, 3/4"" X 10"", GALV."
12084,EA,02,54.25,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8' x 12'"
12085,EA,02,62.89,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 12'6"""
12086,EA,02,63.16,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 13'6""."
12087,EA,02,62.16,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 13'6""."
12088,EA,02,63.29,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 14'."
12089,EA,02,71.94,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 14'6""."
12090,EA,02,80.98,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 16'6""."
12091,EA,02,105.5152,"FIBEROPTIC, DEADEND ANGLE,(5A) "
12092,EA,02,128.42,"FIBEROPTIC, DEADEND ANGLE,(5B) "
12093,EA,02,108.9,"FIBEROPTIC, DEADEND ANGLE,(5C) "
12094,EA,02,54.12,"FIBEROPTIC, CROSSARM, DOUG FIR 3 5/8"" X 5 5/8"" X 11'6""."
