PAFRM,PATO,PAQTY,PABUBB,PAFLAG,PAEFCC,PAEFYY,PAEFMM,PAEFDD,PASTCC,PASTYY,PASTMM,PASTDD,PACRCC,PACRYY,PACRMM,PACRDD,PACRTT,PACRUU,PACHCC,PACHYY,PACHMM,PACHDD,PACHTT,PACHUU
21.21,IP25LS,1,D,,,,,,,,,,,,,,,,,,,,,
DAFIND1,23484,1,A,,,,,,,,,,,,,,,,,,,,,
PTL184011,12587,1,A,,,,,,,,,,,,,,,,,,,,,
PTL184025,12587S,1,A,,,,,,,,,,,,,,,,,,,,,
PTL184041,12587S,1,A,,,,,,,,,,,,,,,,,,,,,
PTL181004,23465S,1,A,,,,,,,,,,,,,,,,,,,,,
PT551FC,12449S,1,A,,,,,,,,,,,,,,,,,,,,,
PT551FC,POLETAG,1,B,,,,,,,,,,,,,,,,,,,,,
PT551FC,PTP,1,C,,,,,,,,,,,,,,,,,,,,,
23423S,23423,1,A,,,,,,,,,,,,,,,,,,,,,
320.51,23423S,1,B,,,,,,,,,,,,,,,,,,,,,
320.51,M06PTS,1,C,,,,,,,,,,,,,,,,,,,,,
330.25,23423S,1,C,,,,,,,,,,,,,,,,,,,,,
340.25,23423S,1,C,,,,,,,,,,,,,,,,,,,,,
340.26,23423S,1,C,,,,,,,,,,,,,,,,,,,,,
340.50,M10PTS,1,C,,,,,,,,,,,,,,,,,,,,,
340.50,23423S,1,D,,,,,,,,,,,,,,,,,,,,,
PT551FP,12432S,1,A,,,,,,,,,,,,,,,,,,,,,
PTL18R010,23464S,1,A,,,,,,,,,,,,,,,,,,,,,
PTL18R011,12587S,1,A,,,,,,,,,,,,,,,,,,,,,
570.33,BASBHR,1,A,,,,,,,,,,,,,,,,,,,,,
570.33,DAANTSUB,1,B,,,,,,,,,,,,,,,,,,,,,
LINEGRD4,23488,1,A,,,,,,,,,,,,,,,,,,,,,
LINEGRD6,23483,1,A,,,,,,,,,,,,,,,,,,,,,
23489S,23489,1,A,,,,,,,,,,,,,,,,,,,,,
23490S,23490,1,A,,,,,,,,,,,,,,,,,,,,,
23491S,23491,1,A,,,,,,,,,,,,,,,,,,,,,
PT40H1DI,23493S,1,A,,,,,,,,,,,,,,,,,,,,,
PT50H1DI,23494S,1,A,,,,,,,,,,,,,,,,,,,,,
PT50H1DI,POLETAG,1,C,,,,,,,,,,,,,,,,,,,,,
PT40H1DI,POLETAG,1,C,,,,,,,,,,,,,,,,,,,,,
23494S,23494,1,A,,,,,,,,,,,,,,,,,,,,,
23493S,23493,1,A,,,,,,,,,,,,,,,,,,,,,
1/0AEPRX,11251,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,14,2,3,134400,LESDEV
1/0TAURSC,11243,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140325,DDAWSON
1/0TAURSV,11243,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140325,DDAWSON
201.30,VT55B,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140325,DDAWSON
201.30,GNDVT,1,B,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
201.30,SITETAG,1,C,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
201.30,VT55HL,1,D,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140325,DDAWSON
202.36,HH36B,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
202.36,HH36C,1,B,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
202.36,SITETAG,1,C,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
231.30,HH20,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
231.30,SITETAG,1,B,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
231.31,HH36B,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
231.31,HH36C,1,B,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140325,DDAWSON
231.31,SITETAG,1,C,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140326,DDAWSON
231.35,HH14,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140326,DDAWSON
231.35,CNUGSV2,1,B,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MN,20,4,6,10,140326,DDAWSON
231.35,SITETAG,1,C,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140326,DDAWSON
231.35,SVSCTAG,2,D,,19,95,9,1,19,95,9,1,19,95,9,1,72201,MLW,20,4,6,10,140326,DDAWSON
28.51,BRKFG18,1,A,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
28.51,CS,2,B,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
28.51,IVSP25,1,C,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
28.51,IVS1,1,D,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
32.16,AD8,1,A,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
32.16,CS,3,B,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
32.16,ISP15,2,C,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
32.16,IVS1,1,D,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
350TAURSC,11245,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140326,DDAWSON
350TAURSV,11245,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,???,20,4,6,10,140326,DDAWSON
38.46,ATDE48,2,A,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
38.46,BRC,1,B,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
38.46,AMFLS,4,C,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
38.46,TSP,1,D,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140326,DDAWSON
38.46,IP15LS,4,F,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,ATDE48,2,A,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,BRC,1,B,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,AMFLS,4,C,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,TSP,1,D,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,TDT,2,E,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
38.47,IP25LS,4,F,,19,95,1,1,19,95,1,1,0,0,0,0,0,DAD,20,4,6,10,140327,DDAWSON
394AAACT,11262,1,A,,19,95,9,1,19,95,9,1,19,95,9,1,72201,RDG,20,4,6,10,140327,DDAWSON
41.17,AS8V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,BRPT,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,IP25LS,2,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,IP25SS,1,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,TSP394,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.17,TST394,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.26,AS10V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.26,BDU,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.26,IP25LS,3,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140327,DDAWSON
41.26,TSP394,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.26,TST394,3,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.27,AS10V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.27,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.27,IP25LS,3,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.27,TSP394,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.27,TST394,3,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.37,AS10V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.37,IP15LS,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.37,IP25LS,3,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.37,TST394,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,AS8V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,BRPT,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,IP25LS,2,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,IP25SS,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
41.67,TST394,3,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
42.12,AD8,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
42.12,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140328,DDAWSON
42.12,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.12,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
